serial no,Registration Number,Date of Grant,Name Factory Address,IS NO,Product,Status,Valid Upto,Models deleted from scope,Brand,View Models
29,R-41079987,27-Dec-2017,"ShenzhenJingquanhuaElectronicsCo.,Ltd.JINGQUANHUAINDUSTRIALAREA,NO.1,XINXULONG,POTOUXIACOMMUNITY,GUANLANSTREET,LONGHUANEWDISTRICT,SHENZHEN,GUANGDONG,China-518110",IS616:2010,"ACADAPTER(PowerAdaptorsforAudio,VideoandSimilarElectronicApparatus)",Cancelledw.e.f.06Apr2018,06-Apr-2018,-,harman/kardon,NSA60ED-190300
30,R-41077828,21-Nov-2017,"DongguanArunIndustrialCo.,Ltd.NO.18,XINFENGST.,CHANGLONG,HUANGJIANG,DONGGUAN,GUANGDONG,China-523766",IS13252(Part1):2010/IEC60950-1:2005,ACAdapter(PowerAdaptorsforITEquipments),Expired,20-Nov-2019,-,CPPLUS,"HLT48-12-4000,HLT-12-2000BL-4C"
31,R-41044881,16-Jul-2016,"ShenzhenHighlightElectronicCo.,Ltd,theFirstBranch11BLDG.,THE3RDINDUSTRIALDISTRICT,TANGTOU,TANGTOUCOMMUNITY,SHIYAN,BAOAN,SHENZHEN,GUANGDONG,P.R.CHINA-518108",IS13252(Part1):2010/IEC60950-1:2005,ACAdapter(PowerAdaptorsforITEquipments),Expired,15-Jul-2018,-,Highlight,HW-7224AC14D-B
32,R-41083356,23-Feb-2018,"ShenzhenYizhongdaElectronicsTechnologyCo.,Ltd.6THFLOOR,BAREA,BUILDINGA,CHAXIXIAWEIYUANINDUSTRYPARK,GUSHUCOMMUNITY,XIXIANGSTREET,BAO?ANDISTRICT,SHENZHEN,GUANGDONG,P.R.CHINA518103",IS13252(Part1):2010/IEC60950-1:2005,ACADAPTER(PowerAdaptorsforITEquipments),Deferred,22-Feb-2020,-,QFX,YZD-050500U
33,R-41083380,22-Feb-2018,"ShenzhenAiNaUTECHNOLOGYCO.,LTD7THFLOOR,YONGDEBUILDING,5RDAREA,HUAIDECUIGANGINDUSTRIALPARK,FUYONGSTREET,BAOANDISTRICT,SHENZHENChina518000",IS13252(Part1):2010/IEC60950-1:2005,ACADAPTER(PowerAdaptorsforITEquipments),Deferred,21-Feb-2020,-,SEEKEN,ANU050150UC
34,R-41033766,23-Feb-2016,"MitsumiPhilippinesInc.BUILDHING1,LUZONAVENUE,PHASE1,FREEPORTAREAOFBATAAN,MARIVELES,BATAAN,PHILIPPINES",IS616:2010,ACADAPTOR,Operative,22-Feb-2020,-,SONY,"AC-L100C,AC-L200D(Changeovertorevisedversionforthefollowingmodelsdonew.e.f.10Aug2018)AC-L100C,AC-L200D"
35,R-41019100,22-Aug-2015,"RICMARPOWERCO.LTD.NO.1115THXINYUANRD.,XINBELDISTRICT,CHANGZHOUJIANNGSU213031P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,ACADAPTOR,Operative,21-Aug-2024,,FranMar,"FRA036-S12-4,FRA036-S12-6,FRA042-S12-4,FRA042-S12-6,FRA045E-S12-4,FRA045E-S12-6(followingmodelsincludedon01Nov2019)FRA040-S050-I"
36,R-41021350,12-Sep-2015,"NIIGATARUBYCONCO.,LTD.1-3-1HIROSHIMA,MYOKO-SHI,NIIGATA-KEN,JAPAN",IS616:2010,ACADAPTOR,Operative,11-Sep-2021,,SONY,"AC-DN10,AC-DN2B(followingmodelsincludedon08June2016)BC-L70A(Changeovertorevisedversionforthefollowingmodelsdonew.e.f.24Oct2018)BC-L70A(followingmodelsincludedon23Apr2019AsPerIS616:2017)AC-DN10A"
37,R-41080063,27-Dec-2017,"ZktecoCo.,LtdNO.26,PINGSHAN188INDUSTRYZONE,TANGXIATOWN,DONGGUANCITY,GUANGDONG,China",IS13252(Part1):2010/IEC60950-1:2005,AccessControlTerminal(Scanner),Operative,26-Dec-2021,-,HONEYWELL,"HON-BIOEM-1000FV,HON-BIOMI-1000FV,HON-BIOEM-500TA,HON-BIOEM-3000W,HON-BIOMI-3000W,HON-BIOEM-3000WK,HON-BIOMI-3000WK(followingmodelsincludedon02Jan2018)HON-BIOEM-5000TA,HON-BIOMI-5000TA"
38,R-41068322,22-Jun-2017,"ZktecoCo.,LtdNO.26,PINGSHAN188INDUSTRYZONE,TANGXIATOWN,DONGGUANCITY,GUANGDONG,China",IS13252(Part1):2010/IEC60950-1:2005,AccessControlTerminal(Scanner),Expired,21-Jun-2019,-,BioMax,"F18,F19,F09"
